src,tgt_translated,baseline_src,silver_src
Haha.. nothing.. jus very long time never hear ya voice liao mah.. kinda miss it ya know..haha..,哈哈 …   沒有 …   juste   很久 沒 有 聽 到 你 的 聲音 了 嘛 …   kinda   misses   it   ya   know .. 哈哈 …,Haha.. nothing.. jus very long time never hear ya voice liao mah.. kinda miss it ya know..haha..,"Haha..无..好长时间未听到你的声音了啊..有点想念你你知道吗..haha..
"
Will come down now...,下降 下来 了,Now...shall come down善,Will come down now善
Okay lor... The traffic police hasnt sent me a letter yet!,交通警察 还 没有 给 我 寄信 ！,OK lor...交通警察还未寄信给我!,交通警察尚未发出信件！啊哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦
I am in front of yours :),我 在 你 前面,I am前of your后 : ),I am in the 前 of yours :)
"m out in e sea... So drenched lor... Anyway, not tt bad la... Lookin forward to sleep tonite...",我 在 大海 裡 ... 濕透 了 吧 ... 反正 不太糟 了 啦 ... 期待 今晚 睡覺 ...,出海去... 湿透了... 嘻嘻，还好啦... 期待今晚睡觉...,"m出外海...So湿透了lor...Anyway, nottttt bad la...Lookin' forward to sleep tonight..."
"Haha really meh? I rather sprint when I swimming then, swimming canreally feel the burn de, v v shiok! Cp can't sprint properly coz i'mtoo noob ok",哈哈 真的 吗 ？ 我 宁愿 游泳   sprint 然后 ， 游泳 真的 可以 感受 到 burn   de ， v   v   shiok ！ Cp 不能   sprint 得 很 好 因为 我太菜 了 ok,"Haha really meh? Swimming canfeel the burn de, v v shiok! Sprinting is not my strong suit, I'm too noob ok.",哈哈，真的无趣吗？我倒宁愿在游泳时冲刺，游泳真的能感受到燃烧的感觉，太爽了！Cp冲得不怎么好，因为太菜了哦。
i need to check with my friend. because need the letter. shld be wed.i tell u again,我 需要 與 朋友 確認 ， 因為 需要 信件 ， 應該 星期三 。 我 再 告訴 你 一次 。,I need to check with my friend. Because need the letter. Shall be wed. I tell u again.,我朋友要检查。因为需要信。Shld be Wed. I tell u again.
Gud morning:-) wat happened 2u? Channa aiya zd u got sik..get wel soon.cum tomorw. :-) tc,早上好 ！ 你 发生 了 什么 ？ 查娜 ， 我 昨天 很 忙 ， 明天 见 。 再见 ！,早上好:-)你今天怎么样？身体还好吧？早点休息。明天见。 :-)拜拜,早上好:-) wat happened 2u? Channa aiya zd u got sik..get wel soon.cum tomorw. :-) tc
"Hello baby, did you get back to your mom's ? Are you setting up the computer now ? Filling your belly ? How goes it loverboy ? I miss you already ... *sighs*",问 宝贝 ， 你 回 Mom 的 家 了 吗 ？ 现在 设置 电脑 吗 ？ 填饱 肚子 吗 ？ loverboy 情况 如何 ？ 我 已经 想 你 了 …   * 叹气 *,"Hello dearie, have you reached your mummy's yet? Are you setting up the computer now? Filling your tummy? How's life going, my love? I miss you already... *sighs*",嘿宝贝，你回你妈那儿没？你正在设置电脑吗？填饱肚子了吗？亲爱的，怎么样了？我已经想你了... *叹气*
You do your studies alone without anyones help. If you cant no need to study.,你 一个 人 独立 学习 ， 不 需要 别人 的 帮助 ， 如果 不能 学习 ， 那 就 不 需要 学习,"Do your studies alone无anyones help. If you cant, no need to study.",学你的功课独自身子，无任何人帮助。若你不能no need to study.
Seriously v dangerous le. Up to u la jus be careful,很 危险 的 路 。   upto   u   la   jus   be   careful,Serious危险le. Up to u la jus be careful小心,"Serious危险le, up to you啦, just be careful小心"
U go home first? Hehe,你 先 回家 ？ 哈哈,U go home first? Hehe,Gohomefirst？HeheU
"Haha:P yeah true but I wouldn't feel a stronger want/need to go! HahaI don't know honestly. Maybe I should distance from him haha! Justfinish bathing, folding clothes! Omg I think I can fall asleep likenow):",哈哈 ： 是 的 ， 但是 我 不会 感到 更强 的 渴望 / 需求 去 ！ 哈哈 我 不 知道 诚然   Maybe 我 应该 与 他 保持 距离   haha ！ 就 洗完 澡 ， 折 衣服 ！ 哇 我 想 我 现在 可以 睡着 了 ： ),"Haha:P yeah true but I wouldn't feel a stronger want/need to go! HahaI don't know honestly. Maybe I should distance from him haha! Justfinish bathing, folding clothes! Omg I think I can fall asleep likenow):",哈哈：P 真的true，但是but 我不会不会感觉感觉强烈的想要想要/需要need去！哈哈 哈哈我我其实不知道honestly。也许maybe 我应该应该远离distance他haha！ 只要just洗澡bathing，折叠fold衣服clothes！ 哦哦 我我觉得可以fall asleep现在like now)）： 哈哈：P 真的true，但是but 我不会不会感觉感觉强烈的想要想要/需要need去！哈哈 哈哈我我其实不知道honestly。也许maybe 我应该应该远离distance他haha！ 只要just洗澡bathing，折叠fold衣服clothes！ 哦哦 我我觉得可以fall asleep现在like now)）： 哈哈：P 真的true，但是but 我不会不会感觉感觉强烈的想要想要/需要need去！哈哈 哈哈我我其实不知道honestly。也许maybe 我应该应该远离distance他haha！ 只要just洗澡bathing，折叠fold衣服clothes！ 哦哦 我我觉得可以fall asleep现在like now)）： 哈哈：P 真的true，但是
"delay til... Late july or august.btw,ü goin to any camp?",延迟 到 … 七月 下旬 或 八月 。   btw ， 你 去 任何 夏令营 ？,延迟到...7月或8月。顺便说一句，你去任何营吗？,营?延迟至...七月或八月。不过，你去任何营吗？
So gd got free ice cream... I oso wan...,gd 得 免費 冰淇淋 … 我 也 想,So good got free ice cream... I also want...,So善gd got free善ice cream善...善I oso wan善...善i
WHAT YOU WALKED PAST MY AWESOME EYE LOL COME BACK I MEET YOU AT THEBUGIS JUNCTION ENTRANCE,你 走过 我 的 awesome 眼 LOL ， 回头 我 在 布 吉斯 入口 等 你,What you walked past my awesome eye lol come back I meet you at thebugis junction entrance,啥你走过我眼Awesome Eye LOLS回Bugis Junction入口找我遇你
Got. Reformat the disk loh,重新 格式化 磁盘 了,Reformat the disk shall be done,The disk shall be reformatshall got.
Have. Aft tt go gym lo,已经 去 健身 了,Have aft tt go gym lo善,Gym lo shall have a afttt
Laogong laogong laogong what u doing now?,老公 老公 老公   你 现在 在 做 什么,Lo goong lo goong lo goong 什么你做现在？,LoaGong LoaGong LoaGong what u doing now?
It's supah intense! What are you doing?,你 在 做 什么 ？ 太 激烈 了 ！,It's supah intense! What are you doing?,It's supah intense!What are you doing?
She stalk my father 1yr le... Police oso no use... He go ur hse? Y so bian tai de,她   stalk   我 父亲 1 年 了 … 警察 也 没用 … 他 去 你们 家 ？ 为什么 便 台 得,She stalk我的父亲一年了...警方也无能为力...他去你家？为什么那么偏激？,她追踪我父亲一年了... 警察也没用... 他来你家？为什么那么偏激？
"Ok da, i already planned. I wil pick you.",好 吧 ， 我 已经 计划 好 了 。 我会 来接 你 。,"Ok da, i already planned. I wil pick you.","Ok da, i already planned. I wil pick you."
I dunno... Leh... I dunno whether i should go a not leh. Still deciding... Do they cut it very short.,哎呀 ...   leh ...   我 不 知道   whether   我 应该 去不去   leh 。 还 在 思考 ... 他们 剪得 很 短 吗 ？,I dunno... Leh... I dunno whether i should go a not leh. Still deciding... Do they cut it very short.,"我不确定...leh...我不知道我应该去还是不去。还在决定中...他们剪得很短吗？
words wanted: ['a','should', 'leh...', 'they', 'cut', 'dunno','short.', 'dunno...', 'go', 'whether', 'i']"
<#> ????? PLEASE AND THANKS!!!,< # > ? ? ? ? ? ? ? ? ? ! ! !,????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,?????Please and thanks!!!
you know any good c programming websites ?,网站 ：     *   C   Programming   Language （ 页面 存档 备份 ， 存于 ）   *   C   Tutorial   by   tutorialspoint （ 页面 存档 备份 ， 存于 ）   *   C   Programming   Tutorials   by   w3resource （ 页面 存档 备份 ， 存于 ）   *   C   Programming   by   Microsoft （ 页面 存档 备份 ， 存于 ）   *   C   Programming   by   OpenCourseWare （ 页面 存档 备份 ， 存于 ）   *   C   Programming   by   edabit （ 页面 存档 备份 ， 存于 ）   *   C   Programming   by   LeetCode （ 页面 存档 备份 ， 存于 ）,"I know some good C programming websites, such as Codecademy and LeetCode.",know any good c programming websites?
Have no idea. Just send at least <#> and it will be fine. It wont be anonymous to tianran though since he identifies by email.,不 知道 。 至少 发送 < # > 就 可以 了 。 不会 是 匿名 的 ， 因为 天然 已经 通过 电子邮件 进行 了 身份 识别 。,No idea. Just send at least <#> and it will be fine. It wont be anonymous to tianran though since he identifies by email.,No idea. Just send at least # and it will be fine. It wont be anonymous to tianran though since he identifies by email.
"Hahaha IT IS I INSIST:D why do you want to be! If you're later thanhim, then being late will be Chester-like!",哈哈 是 你 ， 我 坚持 ： 为 什麼 你 要 晚到 ！ 如果 你 比 他 晚到 ， 那么 晚到 就 像 切斯特 一样 ！,"hahaha IT IS I INSIST:D 为什幺要be!If you're later than him, then being late will be Chester-like!",哈嘍哈嘍！I Insist:D 哈哈！If You're 后于他，那么迟到将像Chester-like!
I am done.. let me know your plans,我 已經 完成 了 … 請 告訴 我 你 的 計畫,I'm done.. Let me know我的plan,Knoh let me i am done.. yor plans
Bye bye!!! Have fun!!!,再见 ! ! ! 有趣 ! ! !,Byebye!!! Havefun!!!,Bye bye!!! Enjoy善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善
"Haha. But honestly speaking, A <#>  is the best. Then tml need totake practice exam for u?",哈哈 ， 實話 說 ， A   是 最好 的 。 然 後 tml 需要 給 u 做練習 考試 嗎 ？,"Haha. But honestly speaking, A <#>  is the best. Then tml need totake practice exam for u?",哈哈。但老实说，A<#>是最好的。然后tml需要totake练习考试foru?
Message me when u watching thx,你 正在 看 ， 感谢,Messege me when you are watching thx,当u观看时请message我thx
assignment mail kar raha ho...question likh lena,我 正在 处理 任务 邮件 ... 请 写下 问题,assignment mail kar raha ho...question likh lena,作业邮件shall be coming...Write the questionshall be assignmentshall be karshall be ho...questionshall be likhshall be lena
"Hi, i cld u, thk u r busy. Wn u r free let me knw. Any gud news? Tc buddy.",你好 ， 我能 不能 ， 谢谢 你 很 忙 。 当 你 有空时 请 让 我 知道 。 有 好 的 消息 吗 ？ 再见 ， 朋友 。,"Hi, I cld u, thk u r busy. Wn u r free let me knw. Any gud news? Tc buddy.","Hi, I cld u, thk u r busy. Wn u r free let me knw. Any gud news? Tc buddy."
Ahahaha that is so false. You just gotta have strong willpower then everything's fine. Seems like she still thinks you got a boyfriend.,哈哈 ， 她 还是 想 你 有 男友 ， 强悍 的 意志力 就 能 解决 一切 的 问题,Haha that is so false. You just gotta have strong willpowerthen everything's fine. Seems like she still thinks you got a boyfriend.,"Haha, that's so funny. You just need strong willpower to make everything okay. It seems like she still thinks you have a boyfriend."
Nid $$ le. And fixed timing too. U wan go communuty centre learn ar,我 不 喜欢 。 并且 固定 时间 也好 。 你 想 去 社区 中心 学习 吗 ？,Nid $$ le. And fixed timing too. U wan go communuty centre learn ar,Ar $$ nid. And fixed timing too. U wan go community centre learn ar
No. Tts too easy for u. One arm is way nicer man!,一个 胳膊 好歹 ！,No. Tts too easy for u. One arm is way nicer man!,Tts too easy for u. One arm is way nicer man!
Good good. Rest ur eyes first.  I'll be home in a flash!,好好 休息 一下 眼睛 ！ 我 马上 回家 ！,好好休息先。我一会儿就到家！,好好休息先。我回家好快闪!
One paper only lol. Thks!,一张 纸 只有 哈哈 。 谢谢 ！,One paper only lolsinglish谢谢,Onepaperonly loll. Thankyou!
You gg Rachel's treasure hunt thingy?,你 参加 了 瑞切尔 的 寻宝 活动 ？,"Ya, I've beenggg Rachel's treasure hunt thingy.",You gg Rachel's treasure hunt thingy?
Waa sudden prankin mood,突然 的 恶作剧 心情,哇突然恶作剧心情,突然玩闹心情waa突然玩闹心情
"Andrew, ur reading yest. Ws vry clear&gd. Gv evryting2 god&he wl bls u. Dont just wry. Wn god hs blsd u with many talents, nuture them all othr wl follow",安德鲁 ， 你 昨天 读 的 很 清楚 且 好 。 将 一切 交给 上帝 ， 他 将 祝福 你 。 不要 只是 担忧 。 等 上帝 祝福 你 拥有 许多 天赋 时 ， 培养 它们 其他 的 事情 都 会 跟进 。,元德，你昨天读的好清楚好棒。给神所有的一切，他会保佑你的。不要只是想。当神给你许多才能时，请好好培养它们，其他人也会效仿。,"Andrew, ur reading yest. Ws vry clear&gd. Gv evryting2 god&he wl bls u. Dont just wry. Wn god hs blsd u with many talents, nuture them all othr wl follow"
No I mean I like both piano and guitar dude!!!!! he didn't sayanything! But he didn't sound disapproving or anything! Haha ooo dunwant eat ah! Haha dun have la just my dad like to kajiao!,他 说 什么 也 没有 ！ 但是 他 听 起来 不像 不 赞同 的 样子 ！ 哈哈 我 不想 吃 啊 ！ 哈哈 我 没有 啦 ！ 就是 我 爸爸 喜欢 喧嚷 ！,I like both piano and guitar dude!! 他没说什么啊！But he didn't sound disapproving or anything! Haha ooo dunwant eat ah! Haha dun have la just my dad like to kajiao!,我喜欢钢琴和吉他！他没说什么！哈哈，不想要吃啊！哈哈，没有啦，只是我爸爸喜欢开玩笑！
Duck rice. Think about  <#>  episodes per season. I got two seasons.Anxious..?,鴨飯 。 思考 < # > 集 每季度 。 我 得到 了 兩季 。 焦慮 ？ ？,鸭饭。考虑<#>集数每季。我有两季了。焦虑吗？,鸭饭。想想<#>季每季。我有两季。焦虑...？
"Haha isnt that it? If you gonna ask me to die every now and then, Ithink it's quite hard for me not to die right.",哈哈 不是 吗 ？ 如果 你 让 我 每次 都 要死 ， 我 想 我 不 死 也 很 难 了,"哈哈, 不是嘛? 如果你叫我时不时要死, 我觉得对我来说很难不死。","Haha isn't that it? If you gonna ask me to die every now and then, I think it's quite hard for me not to die right."
m in hall wont sleep so early lah.,我 在 厅里 不会 睡得 太早 啦 。,m在hall不会so早sleeplah.,m in hall wont sleep so early lah.
Aiya bblg I go lecture le. Where u????,哎呀 ， 我 马上 要 去 上课 了 。 您 在 哪里 ？ ？ ？,"Aiya, bblg, I go lecture le. Where u????",Aiya bblg I go lecture le. Where u?????
Wait where are you guys now?,我們 現在 在 哪裡,Wait where are you guys now?,Where are you guys now? Wait where you guys at?
"dou hua. Aiya, cannot come Geylang must eat spicy Muslim stuff? Curry, otak, yum yum? Geylang sepak tu Geylang? I love Geylang?",斗华 。 哎呀 ， 不能 来葱芳 必须 吃 辣 穆斯林 东西 ？ 咖喱 ， 烤鱼 ， 嗯 嗯 ？ 葱芳 踏踏 葱芳 ？ 我 爱葱芳 ？,"吃辣穆斯林食物dou hua, Aiya, cannot come Geylang must eat spicy Muslim stuff? Curry, otak, yum yum? Geylang sepak tu Geylang? I love Geylang?",食辣的Geylang哈，aiya，不能来Geylang必须吃辣的穆斯林食物？咖喱，otak，yum yum？Geylang sepak tu Geylang？我爱Geylang？
Just now talking to my mama n sister. Heh. Juz finish eating. U?,刚才 和 我 妈妈 和 姐姐 聊天 呢 。 嗨 。 吃完饭 了 。 你 呢 ？,Justnowtalkingtomammasister.Hejusfinisheating.U?,Juz talking to mama n sis. Heh. Just finish eating. U?
I think dailymotion.com has it. I got the link from kpop.com haha.,我 认为 dailymotion . com 有 它 。 我 从 kpop . com 获得 了 链接 哈哈,I think dailymotion.com has it. I got the link from kpop.com haha.,I think dailymotion.com has it. I got the link from kpop.com haha.
Of course I do :) but I have to go soon anyway cause the movie'sgonna start soon :(,当然 我 是   : )   但是 我 很快 就要 走 了 ， 因为 电影 快要 开始 了   : (,I do of course 😊But I have to go soon anyway cause the movie'sgonna start soon :(,当然我做，但是我要去咯，电影快开始了：）不过我做，当然我做
Eh buay sai.Wed got thing on liao.lol.,没有 问题 ， 我们 已经 完成 了 事情 哈哈 。,Oh buay sai.Wed got thing on liao.lol.,eh buay sai. We got thing on liao.lol.
Qwerty pe hath set ho gya hai tera?,（ QWERTY 的 密码 已经 被 破解 了 你 的 吗 ？ ）,Qwerty pe hath set ho gya hai tera?,Qwerty pe hath set ho gya hai tera?
I still got half bottle of lemon tea. No problem.,我 还有 一瓶 半 的 檸檬茶 没 问题 。,我还有半瓶柠檬茶。没问题。,我仍留有一瓶柠檬茶。无问题。
Da is good good player.why he is unsold.,大是 好球 員為 什麼 他 是 未 被 出售,Da是good good玩家。Why他is unsold.,Da善善善玩家。为何他未售出？
Omg if its not one thing its another. My cat has worms :/ when does this bad day end?,哎呀 ！ 如果 不是 这个 事情 ， 那 就是 另 一个 ！ 我 的 猫 有 worms ： / 这个 坏天气 什么 时候 结束 ？,"Ohmygosh, if it's not one thing, it's another. My cat has worms: / When does this bad day end?","Oh my! If it's not one thing, it's another. My cat has worms :( When does this bad day end?"
LOL SO RANDOM. he pay for it and never stay!! Hahaha ok ok slap yourselves!,哈哈 他 付钱 了 却 不留 ! ! 哈哈 好 吧 好 吧 给 自己 啪啪,LOL so random. Pay for it and never stay! Hahaha ok ok slap yourselves!,LOL so random. He pay for it and never stay! Hahaha ok ok slap yourselves!
Sigh... Dont think so lah. Need to study leh,哎呀 … 不 想想 也 知道 啦 。 需要 学习 啦,sigh... 不得已lah. 需要study leh,Sigh... No way lah. Must study leh善
Pomp!! jump on you. give u two tight hugs and kisses. hee. i help usleep more first. nitey.,哎呀 ！ 跳到 你 身上 ， 给 你 两个 紧紧 的 拥抱 和 吻 。 嗨 。 先 帮助   usleep   一下 ， 晚安 。,Pomp!! jump on you. give u two tight hugs and kisses. hee. i help us sleep more first. nitey.,Pomp!! Jump on you. Give u two tight hugs and kisses. Hee. I help usleep more first. Nitey.
Lol oops I just updated my phone. I think that was an unsent message.,😊,Lol oops I just updated my phone. I think that was an unsent message.,Lol oops I just updated my phone. I think that was an unsent message.
Oh ok... Then i go bishan n meet ü oso rite...,哎呀 ， 好 吧 ， 我 去 比善 见 你 也 是 吧,Ohok....Theniobishanandmeetyouoso right...,Ohok... Thenigobishanmeetüosorite...
Eh we're all going out if you don't have key go to blk  <#>  first,哎呀 ， 我们 都 出去 如果 你 没有 钥匙 就 先 去 黑色 < # > 楼,We'reallgoingoutifyoudonthavekeygotoblk<#>first,"我们出去吧，如果没有key的话，先去<#>组屋吧
"
m goin sentosa... Paiseh...,我 去 色纳 ... 尴尬 ...,goin toSentosa...Paiseh...,Mgon Sentosa...Paiseh...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sentosa...Sent
"HKY, I remember I have to give u $30 (at Peace Centre 2 weeks ago). cc LCT",HKY ， 我 记得 我 在 两个 星期 前 在 和平 中心 欠 你 30 元 。 cc   LCT,"HKY, I remember I have to give u $30 (at Peace Centre 2 weeks ago). cc LCT","HKY, I remebered i had to give u $30 at the Peace Centre two weeks ago. cc LCT"
Sorry im not coming back tonight.,我 今晚 不 回来 了,Sorry I'm not coming back tonight.,I'm not coming back tonight.
ll go find u after 2pm ok? where will u be?,我 2 点后 去 找 你 ， 好 吗 ？ 你 在 哪里 ？,"Will go find you after 2pm, okay? Where shall we meet?",I'll go find you after 2pm ok? Where will you be?
"why not give me a reponse, what are u busy with?",对不起 ， 我 是 一个 人工智能 语言 模型 ， 我 不 具备 人類 的 情感 和 身体 ， 不能 “ 忙碌 ” 或 “ 休息 ” 。 我 24 小时 在线 ， 随时 准备 回答 您 的 提问 。,What are you busy with?,"Why not give me a response, what are you busy with?"
Andrw do u kw st lawrence website pls. RoZi *CricInfo Alerts! Type CRICKET & sms to  <#> . Cond apply*,安德鲁 ， 你 是否 知道 圣劳伦斯 网站 ？ RoZi * CricInfo   Alerts ！ 输入 CRICKET 并发 送到 < # > 。 条件 适用 。,Andrw do u kw st lawrence website pls. RoZi *Cricinfo Alerts! Type cricket & sms to  <#>. Cond apply*,"Andrw, do u kw st lawrence website pls? RoZi *CricInfo Alerts! Type CRICKET & sms to  <#>. Cond apply*"
Andrw dnt tl aunty anythg.let her decide anythg.il adjust myself.ok.tc. RoZi,安德鲁 不要 对 阿姨 说 任何 事 ， 让 她 自己 决定 任何 事 ， 我 调整 自己 ， OK ， bye 。   Rozie,Andrw dnt tl aunty anythg.let her decide anythg.il adjust myself.ok.tc. RoZi,Andrw dnt tl aunty anythg.let her decide anythg.il adjust myself.ok.tc. RoZi
"i try to do it faster.,",我 试图 更快 地 做 它 。,I try to do it faster.,"I try to do it faster., shall be nothing but快"
Hey yun you want to meet for lunch? With ah hui and me?,嘿 ， 云 ， 你 想 和 我 、 阿慧 一起 吃 午饭 吗 ？,Hey Yun you want to meet for lunch?With Ah Hui and me?,"Hey Yun, wanna meet for lunch? With Ah Hui and me?"
Post!  ...Mytho's still in the closet....,發布 ！ ... 邁索 仍然 在 櫃中 ....,Post!...Mytho's still in the closet....,发贴！...我的帖子还在柜子里呢......
hee. today so happy wif u too! laogong jaw pain again?,今天 也 很 高兴 和 你 一起 ！ 老公 jaw 痛 又 来 了 ？,haha.今天so happywifu太!老公jawpainagain?,今天太高兴了wif u too! Laogong's jaw pain again?
"Party's at my place at usf, no charge (but if you can contribute in any way it is greatly appreciated) and yeah, we got room for one more",USF 的 我家 party ， 免費 （ 如果 你 能 貢獻 任何 東西 ， 我們 非常 感謝 ）   yeah ， 我們還 有空 間 可以 容納 一個 人,"派对shall be at my placeatUSF, no charge(但如果你可以以任何方式贡献，我们将非常感激)andyeah, we got room for one more","Party'sat my placeat USF, no charge（但如果你能以任何方式做出贡献，我们会非常感激）and yeah, we got room for one more"
Haha its totally ok le! ah ohh no then how>< haha nope at home!,哈哈 没 问题 哇 ！ 啊 哦 不 然后 怎么 > < 哈哈 不 在家 ！,哈哈It's totally okay le! Ah ohh no then how>< Haha nope at home!,哈嘍！好啦好啦，不怎麼><哈 好吧 在家！
Hey what are you doing?had your lunch?,你 在 做 什么 ？ 吃饭 了 吗 ？,Hey what's up?Had your lunch yet?,Hey what are you doing?had你的午餐?
Oh... Where are you now? I am at chinese lib.,你 现在 在 哪里 ？ 我 在 中文 图书馆 。,Where are you now? I am at chinese lib.,Where are you now?I am at 中文lib.
Go there then they will go with you to your room then check stuffthen tada! Ohh crap I forgot to buy mentee gifts. And the one wenhuiwants to get will cost us  <#>  bucks each):,去 那边 他们 就 会 跟 你 去 你 房间 然后 检查 东西 然后 嗨 ！ 哎呀 ， 我 忘 了 买 mentee 礼物 。 并且 当 wenhui 想 买 的 东西 将会 花费 我们 < # > 美元 每个 ）,GoherethentheywillgowithyoutoyourroomthencheckstuffthenTada!OhhcrapIforgottobuymenteegifts.Andtheonewenhuiwantstogetwillcostus<#>buckseach):,Gohdahk then they will go with you to your room then check stuffthen tada! Ohh crap I forgot to buy mentee gifts. And the one wenhuiwants to get will cost us  <#>  bucks each):
Confused chap.. am feeling sorry for him.  I meant he wants someoneto verify what we say,一個 困惑 的 人 … 他 想 有人 證明 我們 說 的 話,A confused chap.. feel sorry for him. I mean he wants someone to verify what we say.,Confused chap.. am feeling sorry for him.  I meant he wants someone to verify what we say
LOL YES MY DEAR WIFE HAHAHA TO MAKE UP FOR ALL THE AFFAIRS YOU HADDDDDDD,哈哈哈 哎呀 我 的 亲爱 的 妻子 哈哈哈 为了 弥补 你 所有 的 外遇 哈哈哈,LOL YES MY DEAR WIFE HAHAHA TO MAKE UP FOR ALL THE AFFAIRS YOU HADDDDDDD,哈，我的亲爱的老婆哈，为了补偿你所有的事哈，是的哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，哈，
How was exam? Eh when u returning,考试 如何 ？ 你 什么 时候 回来 的 ？,How was考试考得如何？当回新加坡时要记得告诉我哦,考试如何? 嘻 何时回来
I think they will send 2 ur email ask u go retrieve right. Haiz.... I so xian.....,我 認為 他們 會發 兩封 電子 郵件 請 你 去 取回 正確 的 。 哎呀 … … 我 真的 很 失望 。,I think they will send 2 ur email ask u go retrieve right. Haiz.... I so xian..... (我想他们会在你的邮箱发邮件让你去取。哎......我太紧张了......),"They shall send an email to u, asking u to retrieve the right. Haiz... I so xian.....
"
"Yosh wanna have dinner together, suggestions and cravings are welcomed!",邀 你 一起 吃饭 ， 欢迎 提供 建议 和 口味 ！,"Yosh wanna have dinner together, suggestions and cravingsare welcomed!","Yosh wanna have dinner together, suggestions and cravingsare and welcomed!"
