method_1,direction_1,model_1,method_2,direction_2,model_2,input_id
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,799
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,503
gold,tgt,full_gpt-4o-mini,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,16
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,979
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,659
gold,tgt,full_gpt-4o-mini,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,352
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,56
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,764
gold,tgt,full_gpt-4o-mini,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,545
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,225
gold,src,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,703
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,102
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,35
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,877
gold,src,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,882
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,517
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,935
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,353
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,804
gold,src,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,913
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,247
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,185
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,682
silver,src,full_gpt-4o-mini,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,963
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,223
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,583
baseline,tgt,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,716
gold,tgt,full_gpt-4o-mini,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,189
gold,tgt,full_gpt-4o-mini,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,434
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,5
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,675
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,804
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,783
gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,610
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,950
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,965
gold,src,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,450
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,86
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,813
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,140
silver,src,full_gpt-4o-mini,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,60
silver,src,full_gpt-4o-mini,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,57
gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,114
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,515
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,468
silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,138
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,740
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,328
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,817
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,192
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,588
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,980
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,877
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,850
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,867
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,343
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,21
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,503
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,159
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,43
silver,src,full_gpt-4o-mini,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,313
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,546
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,977
gold,tgt,full_gpt-4o-mini,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,418
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,686
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,366
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,784
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,742
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,748
gold,src,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,868
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,592
silver,tgt,full_gpt-4o-mini,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,430
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,765
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,616
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,777
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,331
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,765
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,811
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,121
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,412
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,219
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,447
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,348
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,215
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,373
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,398
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,674
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,506
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,677
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,570
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,852
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,950
silver,tgt,full_gpt-4o-mini,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,180
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,602
gold,tgt,full_gpt-4o-mini,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,291
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,243
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,71
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,119
silver,src,full_gpt-4o-mini,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,290
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,966
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,713
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,19
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,934
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,560
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,526
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,265
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,830
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,61
silver,tgt,full_gpt-4o-mini,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,418
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,402
gold,src,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,870
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,534
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,630
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,145
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,54
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,76
gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,115
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,284
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,461
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,204
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,23
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,213
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,609
gold,src,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,253
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,894
gold,src,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,246
silver,src,full_gpt-4o-mini,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,823
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,567
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,467
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,52
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,831
silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,951
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,614
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,768
silver,src,full_gpt-4o-mini,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,260
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,131
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,569
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,860
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,272
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,488
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,323
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,135
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,891
silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,776
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,524
gold,src,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,234
silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,336
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,871
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,245
silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,889
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,410
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,778
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,387
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,350
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,285
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,55
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,514
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,119
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,385
silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,259
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,300
silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,525
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,300
silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,511
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,329
silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,82
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,105
silver,src,full_gpt-4o-mini,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,300
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,851
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,920
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,615
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,422
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,215
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,793
gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,625
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,400
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,363
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,588
gold,src,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,696
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,692
silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,516
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,252
gold,tgt,full_gpt-4o-mini,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,244
gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,568
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,45
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,417
gold,src,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,272
gold,src,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,200
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,185
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,720
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,270
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,624
silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,859
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,81
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,402
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,764
baseline,tgt,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,428
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,733
baseline,tgt,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,941
gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,719
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,888
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,215
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,961
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,147
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,126
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,617
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,672
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,112
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,139
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,33
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,352
silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,811
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,685
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,171
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,125
silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,773
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,548
baseline,tgt,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,540
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,248
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,641
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,139
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,809
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,512
silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,344
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,327
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,449
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,158
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,863
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,216
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,676
gold,tgt,full_gpt-4o-mini,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,428
gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,88
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,100
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,116
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,792
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,279
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,24
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,355
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,111
silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,254
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,826
silver,src,full_gpt-4o-mini,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,627
silver,src,full_gpt-4o-mini,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,479
gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,66
silver,tgt,full_gpt-4o-mini,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,165
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,225
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,593
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,502
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,995
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,576
baseline,tgt,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,663
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,864
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,537
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,975
baseline,tgt,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,142
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,373
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,769
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,7
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,593
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,324
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,663
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,763
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,218
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,539
silver,src,full_gpt-4o-mini,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,564
silver,src,full_gpt-4o-mini,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,578
baseline,tgt,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,812
